***********************************************************************
dp1 - Testcases parameters N: 300000000, Iterations: 20
***********************************************************************
Iteration:  1 ~ R: 16777216.000000, T: 0.363946 sec, B: 6.141 GB/sec, F: 1.649 GFLOP/sec
Iteration:  2 ~ R: 16777216.000000, T: 0.363859 sec, B: 6.143 GB/sec, F: 1.649 GFLOP/sec
Iteration:  3 ~ R: 16777216.000000, T: 0.372183 sec, B: 6.006 GB/sec, F: 1.612 GFLOP/sec
Iteration:  4 ~ R: 16777216.000000, T: 0.376546 sec, B: 5.936 GB/sec, F: 1.593 GFLOP/sec
Iteration:  5 ~ R: 16777216.000000, T: 0.363907 sec, B: 6.142 GB/sec, F: 1.649 GFLOP/sec
Iteration:  6 ~ R: 16777216.000000, T: 0.385071 sec, B: 5.805 GB/sec, F: 1.558 GFLOP/sec
Iteration:  7 ~ R: 16777216.000000, T: 0.363988 sec, B: 6.141 GB/sec, F: 1.648 GFLOP/sec
Iteration:  8 ~ R: 16777216.000000, T: 0.372508 sec, B: 6.000 GB/sec, F: 1.611 GFLOP/sec
Iteration:  9 ~ R: 16777216.000000, T: 0.376417 sec, B: 5.938 GB/sec, F: 1.594 GFLOP/sec
Iteration: 10 ~ R: 16777216.000000, T: 0.371232 sec, B: 6.021 GB/sec, F: 1.616 GFLOP/sec
Iteration: 11 ~ R: 16777216.000000, T: 0.376099 sec, B: 5.943 GB/sec, F: 1.595 GFLOP/sec
Iteration: 12 ~ R: 16777216.000000, T: 0.370831 sec, B: 6.027 GB/sec, F: 1.618 GFLOP/sec
Iteration: 13 ~ R: 16777216.000000, T: 0.375807 sec, B: 5.948 GB/sec, F: 1.597 GFLOP/sec
Iteration: 14 ~ R: 16777216.000000, T: 0.363202 sec, B: 6.154 GB/sec, F: 1.652 GFLOP/sec
Iteration: 15 ~ R: 16777216.000000, T: 0.383895 sec, B: 5.822 GB/sec, F: 1.563 GFLOP/sec
Iteration: 16 ~ R: 16777216.000000, T: 0.363872 sec, B: 6.143 GB/sec, F: 1.649 GFLOP/sec
Iteration: 17 ~ R: 16777216.000000, T: 0.372524 sec, B: 6.000 GB/sec, F: 1.611 GFLOP/sec
Iteration: 18 ~ R: 16777216.000000, T: 0.377345 sec, B: 5.923 GB/sec, F: 1.590 GFLOP/sec
Iteration: 19 ~ R: 16777216.000000, T: 0.371899 sec, B: 6.010 GB/sec, F: 1.613 GFLOP/sec
Iteration: 20 ~ R: 16777216.000000, T: 0.376927 sec, B: 5.930 GB/sec, F: 1.592 GFLOP/sec

Average readings for the second half of iterations
N: 300000000, T: 0.372671 sec, B: 5.998 GB/sec, F: 1.610 GFLOP/sec

***********************************************************************
dp1 - Testcases parameters N: 1000000, Iterations: 1000
***********************************************************************
Iteration:    1 ~ R: 1000000.000000, T: 0.001185 sec, B: 6.288 GB/sec, F: 1.688 GFLOP/sec
Iteration:    2 ~ R: 1000000.000000, T: 0.001199 sec, B: 6.212 GB/sec, F: 1.668 GFLOP/sec
Iteration:    3 ~ R: 1000000.000000, T: 0.001157 sec, B: 6.441 GB/sec, F: 1.729 GFLOP/sec
Iteration:    4 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.462 GB/sec, F: 1.735 GFLOP/sec
Iteration:    5 ~ R: 1000000.000000, T: 0.001185 sec, B: 6.290 GB/sec, F: 1.688 GFLOP/sec
Iteration:    6 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.475 GB/sec, F: 1.738 GFLOP/sec
Iteration:    7 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.469 GB/sec, F: 1.736 GFLOP/sec
Iteration:    8 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.470 GB/sec, F: 1.737 GFLOP/sec
Iteration:    9 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.466 GB/sec, F: 1.736 GFLOP/sec
Iteration:   10 ~ R: 1000000.000000, T: 0.001150 sec, B: 6.478 GB/sec, F: 1.739 GFLOP/sec
Iteration:   11 ~ R: 1000000.000000, T: 0.001155 sec, B: 6.449 GB/sec, F: 1.731 GFLOP/sec
Iteration:   12 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.470 GB/sec, F: 1.737 GFLOP/sec
Iteration:   13 ~ R: 1000000.000000, T: 0.001150 sec, B: 6.476 GB/sec, F: 1.738 GFLOP/sec
Iteration:   14 ~ R: 1000000.000000, T: 0.001157 sec, B: 6.439 GB/sec, F: 1.729 GFLOP/sec
Iteration:   15 ~ R: 1000000.000000, T: 0.001162 sec, B: 6.411 GB/sec, F: 1.721 GFLOP/sec
Iteration:   16 ~ R: 1000000.000000, T: 0.001153 sec, B: 6.464 GB/sec, F: 1.735 GFLOP/sec
Iteration:   17 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.472 GB/sec, F: 1.737 GFLOP/sec
Iteration:   18 ~ R: 1000000.000000, T: 0.001156 sec, B: 6.445 GB/sec, F: 1.730 GFLOP/sec
Iteration:   19 ~ R: 1000000.000000, T: 0.001151 sec, B: 6.472 GB/sec, F: 1.737 GFLOP/sec
Iteration:   20 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.470 GB/sec, F: 1.737 GFLOP/sec
Iteration:   21 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.469 GB/sec, F: 1.737 GFLOP/sec
Iteration:   22 ~ R: 1000000.000000, T: 0.001162 sec, B: 6.413 GB/sec, F: 1.721 GFLOP/sec
Iteration:   23 ~ R: 1000000.000000, T: 0.001152 sec, B: 6.467 GB/sec, F: 1.736 GFLOP/sec
Iteration:   24 ~ R: 1000000.000000, T: 0.001156 sec, B: 6.443 GB/sec, F: 1.730 GFLOP/sec
