***********************************************************************
dp1 - Testcases parameters N: 300000000, Iterations: 20
***********************************************************************
Iteration:  1 ~ R: 16777216.000000, T: 0.362276 sec, B: 6.170 GB/sec, F: 1.656 GFLOP/sec
Iteration:  2 ~ R: 16777216.000000, T: 0.362258 sec, B: 6.170 GB/sec, F: 1.656 GFLOP/sec
Iteration:  3 ~ R: 16777216.000000, T: 0.370127 sec, B: 6.039 GB/sec, F: 1.621 GFLOP/sec
Iteration:  4 ~ R: 16777216.000000, T: 0.375820 sec, B: 5.947 GB/sec, F: 1.597 GFLOP/sec
Iteration:  5 ~ R: 16777216.000000, T: 0.363035 sec, B: 6.157 GB/sec, F: 1.653 GFLOP/sec
Iteration:  6 ~ R: 16777216.000000, T: 0.382934 sec, B: 5.837 GB/sec, F: 1.567 GFLOP/sec
Iteration:  7 ~ R: 16777216.000000, T: 0.364040 sec, B: 6.140 GB/sec, F: 1.648 GFLOP/sec
Iteration:  8 ~ R: 16777216.000000, T: 0.369739 sec, B: 6.045 GB/sec, F: 1.623 GFLOP/sec
Iteration:  9 ~ R: 16777216.000000, T: 0.374475 sec, B: 5.969 GB/sec, F: 1.602 GFLOP/sec
Iteration: 10 ~ R: 16777216.000000, T: 0.369396 sec, B: 6.051 GB/sec, F: 1.624 GFLOP/sec
Iteration: 11 ~ R: 16777216.000000, T: 0.374450 sec, B: 5.969 GB/sec, F: 1.602 GFLOP/sec
Iteration: 12 ~ R: 16777216.000000, T: 0.370406 sec, B: 6.034 GB/sec, F: 1.620 GFLOP/sec
Iteration: 13 ~ R: 16777216.000000, T: 0.374935 sec, B: 5.962 GB/sec, F: 1.600 GFLOP/sec
Iteration: 14 ~ R: 16777216.000000, T: 0.369818 sec, B: 6.044 GB/sec, F: 1.622 GFLOP/sec
Iteration: 15 ~ R: 16777216.000000, T: 0.375103 sec, B: 5.959 GB/sec, F: 1.600 GFLOP/sec
Iteration: 16 ~ R: 16777216.000000, T: 0.362124 sec, B: 6.172 GB/sec, F: 1.657 GFLOP/sec
